Word	VerbType	Transivity	Tense	Aspect	Person	Phrasal	IsInfinitive	howCommon	commonRank	baseForm
preresolve	--	--	--	--	N/A	No	null	-1.0	-1	preresolve	false
metricising	--	Transitive	Present	--	N/A	No	null	-1.0	-1	metricise	false
infatuating	--	--	Present	--	N/A	No	null	-1.0	-1	infatuat	false
reinflate	--	tran=np	--	--	N/A	No	null	-1.0	-1	inflate	false
creating	--	--	Present	--	N/A	No	null	0.003731	2772	creat	false
footle	--	Intransitive	--	--	N/A	No	null	-1.0	-1	footle	false
infringe	--	Ambitransitive	--	--	N/A	No	null	1.32E-4	25970	fringe	false
restipulate	--	--	--	--	N/A	No	null	-1.0	-1	restipulate	false
furcated	--	--	Past	--	N/A	No	null	-1.0	-1	furcate	false
hyperimmunized	--	Transitive	Past	--	N/A	No	null	-1.0	-1	immune	false
misadvised	--	Transitive	Past	--	N/A	No	null	-1.0	-1	advise	false
reverifying	--	Transitive	Present	--	N/A	No	null	-1.0	-1	reverifie	false
paraffined	--	Transitive	Past	--	N/A	No	null	-1.0	-1	paraffine	false
starve	--	Intransitive	--	--	N/A	No	null	2.87E-4	16533	starve	false
anticked	--	--	Past	--	N/A	No	null	-1.0	-1	antick	false
outpass	--	Transitive	--	--	N/A	No	null	-1.0	-1	outpass	false
counterchange	--	Transitive	--	--	N/A	No	null	-1.0	-1	change	false
rusticated	--	--	Past	--	N/A	No	null	1.8E-5	67200	rusticate	false
eternalized	--	Transitive	Past	--	N/A	No	null	-1.0	-1	eternale	false
labialising	--	Transitive	Present	--	N/A	No	null	-1.0	-1	labialise	false
outeate	--	Transitive	--	--	N/A	No	null	-1.0	-1	outeate	false
replated	--	Transitive	Past	--	N/A	No	null	-1.0	-1	plate	false
unsheathing	--	Transitive	Present	--	N/A	No	null	-1.0	-1	sheath	false
turkey-trot	--	Intransitive	--	--	N/A	No	null	-1.0	-1	trot	false
decarboxylating	--	Transitive	Present	--	N/A	No	null	-1.0	-1	decarboxylate	false
sectarianizing	--	Transitive	Present	--	N/A	No	null	-1.0	-1	sectar	false
debagged	--	Transitive	Past	--	N/A	No	null	-1.0	-1	bag	false
torture	--	Transitive	--	--	N/A	No	null	9.21E-4	7773	torture	false
underballast	--	Transitive	--	--	N/A	No	null	-1.0	-1	ballast	false
burglarize	--	Transitive	--	--	N/A	No	null	-1.0	-1	burglare	false
decrypt	--	Transitive	--	--	N/A	No	null	-1.0	-1	decrypt	false
reassess	--	Transitive	--	--	N/A	No	null	1.25E-4	26700	reass	false
variegate	--	Transitive	--	--	N/A	No	null	-1.0	-1	variegate	false
Tempel	--	Ambitransitive	--	--	N/A	No	null	-1.0	-1	tempel	false
slapped	--	--	Past	--	N/A	No	null	5.37E-4	11155	slap	false
marring	--	Transitive	Present	--	N/A	No	null	1.2E-5	80302	mar	false
boweling	--	--	--	--	N/A	No	null	-1.0	-1	bowe	false
overtheorize	--	Intransitive	--	--	N/A	No	null	-1.0	-1	overthe	false
presaged	--	--	Past	--	N/A	No	null	4.8E-5	43114	pres	false
whetted	--	--	Past	--	N/A	No	null	4.3E-5	45901	whet	false
glare	--	Intransitive	--	--	N/A	No	null	5.92E-4	10474	glare	false
laryngectomizing	--	Transitive	Present	--	N/A	No	null	-1.0	-1	laryngectome	false
overobjectifying	--	Transitive	Present	--	N/A	No	null	-1.0	-1	overobjectifie	false
impinging	--	--	Present	--	N/A	No	null	5.4E-5	41181	imping	false
discountenancing	--	--	Present	--	N/A	No	null	-1.0	-1	discountenanc	false
stencil	--	Transitive	--	--	N/A	No	null	8.4E-5	32939	stencil	false
peroxidized	--	Ambitransitive	Past	--	N/A	No	null	-1.0	-1	peroxide	false
budget	--	Ambitransitive	--	--	N/A	No	null	0.008754	1239	budget	false
tuberculinize	--	Ambitransitive	--	--	N/A	No	null	-1.0	-1	tuberculine	false
bastardised	--	Ambitransitive	Past	--	N/A	No	null	1.1E-5	85693	bastardise	false
glass	--	Transitive	--	--	N/A	No	null	0.010369	1039	glass	false
constipate	--	Transitive	--	--	N/A	No	null	-1.0	-1	constipate	false
tape-record	--	Transitive	--	--	N/A	No	null	-1.0	-1	tape record	false
deep-draw	--	Transitive	--	--	N/A	No	null	-1.0	-1	draw	false
rearose	--	Intransitive	--	--	N/A	No	null	-1.0	-1	arise	false
facetting	--	--	Present	--	N/A	No	null	-1.0	-1	facet	false
trisect	--	Transitive	--	--	N/A	No	null	-1.0	-1	trisect	false
misfitting	--	--	Present	--	N/A	No	null	-1.0	-1	misfit	false
redound	--	Intransitive	--	--	N/A	No	null	-1.0	-1	redound	false
tart up	--	Transitive	--	--	N/A	NotSeperable	null	-1.0	-1	tart up	false
assume	--	Transitive	--	--	N/A	No	null	0.004332	2445	assume	false
de-emphasizing	--	Transitive	Present	--	N/A	No	null	-1.0	-1	de-emphase	false
jiggle	--	tran=np	--	--	N/A	No	null	1.2E-5	81157	jiggle	false
brasque	--	Transitive	--	--	N/A	No	null	-1.0	-1	brasque	false
intercede	--	Intransitive	--	--	N/A	No	null	3.6E-5	50136	cede	false
