Word,VerbType,Transivity,Tense,Aspect,Person,Phrasal,IsInfinitive
distract,--,Transitive,--,--,N/A,No,null
calving,--,--,--,--,N/A,No,null
etherealising,--,Transitive,--,--,N/A,No,null
preexamine,--,Transitive,--,--,N/A,No,null
back,--,Ambitransitive,--,--,N/A,No,null
bach,--,--,--,--,N/A,No,null
rethatch,--,Transitive,--,--,N/A,No,null
headlining,--,--,--,--,N/A,No,null
stump up,--,--,--,--,N/A,NotSeperable,null
ferry,--,cplxtran=np,advbl,--,--,N/A,No,null
company,--,--,--,--,N/A,No,null
reinoculated,--,--,Past,--,N/A,No,null
carbonate,--,Transitive,--,--,N/A,No,null
intermention,--,--,--,--,N/A,No,null
tress,--,Transitive,--,--,N/A,No,null
decimalizing,--,Transitive,--,--,N/A,No,null
plasmolyse,--,tran=np,--,--,N/A,No,null
cross-mating,--,Ambitransitive,--,--,N/A,No,null
undercool,--,tran=np,--,--,N/A,No,null
unyoke,--,Ambitransitive,--,--,N/A,No,null
massaged,--,--,Past,--,N/A,No,null
outshame,--,Transitive,--,--,N/A,No,null
undercook,--,Transitive,--,--,N/A,No,null
relax,--,Intransitive,--,--,N/A,No,null
relay,--,Transitive,--,--,N/A,No,null
dissuading,--,Transitive,--,--,N/A,No,null
defoliate,--,tran=np,--,--,N/A,No,null
oversewing,--,Transitive,--,--,N/A,No,null
baby,--,tran=np,--,--,N/A,No,null
muckrake,--,Intransitive,--,--,N/A,No,null
flip-flop,--,--,--,--,N/A,No,null
subducing,--,Transitive,--,--,N/A,No,null
overcontract,--,Transitive,--,--,N/A,No,null
grubbed,--,--,Past,--,N/A,No,null
preconvey,--,Transitive,--,--,N/A,No,null
Occidentalise,--,Transitive,--,--,N/A,No,null
industrialized,--,--,Past,--,N/A,No,null
reacquired,--,Transitive,Past,--,N/A,No,null
back-talk,--,Intransitive,--,--,N/A,No,null
